"relative_time, bits_sent, raw_edgename"
0.0,32032.0,gradients/resnet_v2_101/logits/BiasAdd_grad/tuple/control_dependency_1
0.0,65536.0,gradients/resnet_v2_101/postnorm/FusedBatchNorm_grad/tuple/control_dependency_2
0.0,65536.0,gradients/resnet_v2_101/block4/unit_3/bottleneck_v2/conv3/BiasAdd_grad/tuple/control_dependency_1
0.0,65536.0,gradients/resnet_v2_101/postnorm/FusedBatchNorm_grad/tuple/control_dependency_1
0.0,65601536.0,gradients/AddN
1.0,16384.0,gradients/resnet_v2_101/block4/unit_3/bottleneck_v2/conv2/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_2
1.0,16384.0,gradients/resnet_v2_101/block4/unit_3/bottleneck_v2/conv1/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_1
1.0,16384.0,gradients/resnet_v2_101/block4/unit_3/bottleneck_v2/conv2/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_1
1.0,16384.0,gradients/resnet_v2_101/block4/unit_3/bottleneck_v2/conv1/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_2
1.0,65536.0,gradients/resnet_v2_101/block4/unit_3/bottleneck_v2/preact/FusedBatchNorm_grad/tuple/control_dependency_2
1.0,65536.0,gradients/resnet_v2_101/block4/unit_2/bottleneck_v2/conv3/BiasAdd_grad/tuple/control_dependency_1
1.0,65536.0,gradients/resnet_v2_101/block4/unit_3/bottleneck_v2/preact/FusedBatchNorm_grad/tuple/control_dependency_1
1.0,33554432.0,gradients/AddN_1
1.0,33554432.0,gradients/AddN_3
1.0,75497472.0,gradients/AddN_2
2.0,16384.0,gradients/resnet_v2_101/block4/unit_2/bottleneck_v2/conv2/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_2
2.0,16384.0,gradients/resnet_v2_101/block4/unit_2/bottleneck_v2/conv1/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_1
2.0,16384.0,gradients/resnet_v2_101/block4/unit_2/bottleneck_v2/conv2/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_1
2.0,16384.0,gradients/resnet_v2_101/block4/unit_2/bottleneck_v2/conv1/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_2
2.0,65536.0,gradients/resnet_v2_101/block4/unit_2/bottleneck_v2/preact/FusedBatchNorm_grad/tuple/control_dependency_2
2.0,65536.0,gradients/resnet_v2_101/block4/unit_2/bottleneck_v2/preact/FusedBatchNorm_grad/tuple/control_dependency_1
2.0,33554432.0,gradients/AddN_5
2.0,33554432.0,gradients/AddN_7
2.0,75497472.0,gradients/AddN_6
3.0,16384.0,gradients/resnet_v2_101/block4/unit_1/bottleneck_v2/conv2/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_2
3.0,16384.0,gradients/resnet_v2_101/block4/unit_1/bottleneck_v2/conv2/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_1
3.0,65536.0,gradients/resnet_v2_101/block4/unit_1/bottleneck_v2/conv3/BiasAdd_grad/tuple/control_dependency_1
3.0,65536.0,gradients/resnet_v2_101/block4/unit_1/bottleneck_v2/shortcut/BiasAdd_grad/tuple/control_dependency_1
3.0,33554432.0,gradients/AddN_10
3.0,67108864.0,gradients/AddN_9
3.0,75497472.0,gradients/AddN_11
4.0,8192.0,gradients/resnet_v2_101/block3/unit_23/bottleneck_v2/conv2/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_1
4.0,8192.0,gradients/resnet_v2_101/block3/unit_23/bottleneck_v2/conv2/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_2
4.0,16384.0,gradients/resnet_v2_101/block4/unit_1/bottleneck_v2/conv1/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_1
4.0,16384.0,gradients/resnet_v2_101/block4/unit_1/bottleneck_v2/conv1/BatchNorm/FusedBatchNorm_grad/tuple/control_dependency_2
