MTU,butterfly,distribution_trace_base_dir,fat_tree,forward_pass_as_bytes,fwd_pass_time,gpu_speedup,gradient_size,gswitch_inbuffer_size,gswitch_recv_rate,gswitch_send_rate,horovod,in_network_computation,inputs_as_bytes,iteration_time,json,latency,latency_distribution,latency_std,max_param_size,message_size,model_name,multi_step,num_gswitches,num_ps,num_workers,on_same_rack,optimal_param_distribution,ps_inbuffer_size,ps_recv_rate,ps_send_rate,real_distribution,scattercast,step_num,striping,timeout,topology,tor_inbuffer_size,tor_recv_rate,tor_send_rate,trace_base_dir,use_multicast,verbosity,worker_inbuffer_size,worker_receive_time,worker_recv_rate,worker_send_rate
12000000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,1,0,1.8608430432000522,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,vgg16,1,4,1,32,1,0,-1,10.0,10.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,1,0,-1,"[0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941]",10.0,10.0
12000000.0,1,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,1,0,0,3.4595645759999054,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,vgg16,1,4,0,32,1,0,-1,10.0,10.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,0,0,-1,[],10.0,10.0
12000000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,1,0,0.7449612172800101,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,vgg16,1,4,1,32,1,0,-1,25.0,25.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,1,0,-1,"[0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096, 0.26350228992000096]",25.0,25.0
12000000.0,1,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,1,0,0,1.4907581913600667,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,vgg16,1,4,0,32,1,0,-1,25.0,25.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,1,0,0.410264380160009,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,vgg16,1,4,1,32,1,0,-1,50.0,50.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,1,0,-1,"[0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005, 0.1317611449600005]",50.0,50.0
12000000.0,1,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,1,0,0,0.8303890956800408,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,vgg16,1,4,0,32,1,0,-1,50.0,50.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,0,0,-1,[],50.0,50.0
12000000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,1,0,0,1.4529618815999923,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,vgg16,1,4,0,32,1,0,-1,10.0,10.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,0,0,-1,[],10.0,10.0
12000000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,1,0,0,0.6835554713600142,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,vgg16,1,4,0,32,1,0,-1,25.0,25.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,0,0,-1,[],25.0,25.0
12000000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,1,0,0,0.42720840448002034,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,16000000.0,vgg16,1,4,0,32,1,0,-1,50.0,50.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,0,0,-1,[],50.0,50.0
12000000.0,0,distribution_csv/vgg16/,1,1,0.169,1.0,0.0,-1,10.0,10.0,0,1,0,3.804617324799829,json/vgg16_param_ps_assignment.json,1e-05,none,0.0002,-1.0,-1.0,vgg16,3,4,1,32,1,0,-1,10.0,10.0,0,0,0,1,3000.0,,-1,200.0,200.0,csv/vgg16/,1,0,-1,"[0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 0.6587257247999941, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 2.405658044800015, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822, 4.375264348799822]",10.0,10.0
